channel,super_user,current_owner,assembled_by,status,start_date,duration,cathode,anode,separator,data_filename,added_water_b,comments
1-1,test name,Alice Johnson,Bob Wilson,Active,2026-05-01,48h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,45 ml,Running experiment
1-2,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
1-3,test 2,Alice Johnson,Bob Wilson,Reserved,2026-05-01,100h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
1-4,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen4,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
1-5,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
1-6,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
1-7,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
1-8,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
2-1,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,24h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
2-2,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
2-3,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
2-4,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
2-5,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
2-6,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
2-7,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
2-8,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
3-1,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
3-2,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
3-3,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
3-4,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
3-5,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
3-6,John Smith,Alice Johnson,Bob Wilson,Active,2026-05-01,72h,Cat2_2A/dm1_8min,Gen3_3A/dm2_13min,Gen3,IC1763_CatGen3.4.60_AnoGen3.4.13_rho1282_1.3ppm_Fe_1-1,30 ml,Running experiment
